,collector,country,un_subregion,so_region,age_range,age_midpoint,gender,self_identification,occupation,occupation_group,experience_range,experience_midpoint,salary_range,salary_midpoint,big_mac_index,tech_do,tech_want,aliens,programming_ability,employment_status,industry,company_size_range,team_size_range,women_on_team,remote,job_satisfaction,job_discovery,dev_environment,commit_frequency,hobby,dogs_vs_cats,desktop_os,unit_testing,rep_range,visit_frequency,why_learn_new_tech,education,open_to_new_job,new_job_value,job_search_annoyance,interview_likelihood,how_to_improve_interview_process,star_wars_vs_star_trek,agree_tech,agree_notice,agree_problemsolving,agree_diversity,agree_adblocker,agree_alcohol,agree_loveboss,agree_nightcode,agree_legacy,agree_mars,important_variety,important_control,important_sameend,important_newtech,important_buildnew,important_buildexisting,important_promotion,important_companymission,important_wfh,important_ownoffice,developer_challenges,why_stack_overflow
4020,Facebook,Australia,Australia and New Zealand,Oceania,25-29,27,Male,Developer,Mobile developer,"Mobile Dev (Android, iOS, WP & Multi-Platform)",6 - 10 years,8,"$70,000 - $80,000",75000,3.74,"Android; AngularJS; Cloud (AWS, GAE, Azure, etc.); iOS; JavaScript; LAMP; Node.js; Objective-C; PHP; Ruby; SQL; WordPress",iOS; Swift,No,5,Self-employed,Software Products,5-9 employees,5-9 people,0,Full-time remote,I love my job,Self-employed - I created my own job,Atom; Vim; IntelliJ; NetBeans; Xcode,A couple times a week,1-2 hours per week,Cats,Mac OS X,I don't know,101 - 500,Once a day,I want to be a better developer,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Ability to make or influence important decisions; Work/life balance; Company culture; Building something that's significant; Remote working option; Flexible work hours,The interview process,30%,Offer remote interviews (e.g. via video conference),,Agree completely,Agree somewhat,Agree completely,Neutral,Disagree completely,Agree completely,Agree completely,Agree completely,Agree somewhat,Neutral,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,Poor team dynamics; Unrealistic expectations; Interacting with stupid people,To get help for my job; I don't really use Stack Overflow. I just take surveys.
7614,Facebook,Australia,Australia and New Zealand,Oceania,30-34,32,Female,,,,,,,,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9972,Facebook,Australia,Australia and New Zealand,Oceania,30-34,32,Male,Developer; Engineer; Programmer; Sr. Developer; Rockstar; Guru; Expert; Full-stack Developer; Full Stack Overflow Developer,Full-stack web developer,Full-stack web developer,11+ years,13,"$90,000 - $100,000",95000,3.74,Android; AngularJS; C#; Cordova; iOS; JavaScript; LAMP; MongoDB; Node.js; SQL; SQL Server; WordPress,Android; AngularJS; C#; Cordova; JavaScript; MongoDB; Node.js; SQL; SQL Server; WordPress,No,9,Employed full-time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19134,Facebook,Australia,Australia and New Zealand,Oceania,Prefer not to disclose,,Male,Developer,System administrator,System administrator,11+ years,13,Unemployed,,3.74,SQL,C#,Other (please specify),7,Unemployed,,,,,,,,,Multiple times a day,1-2 hours per week,Dogs,Mac OS X,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20108,Facebook,Australia,Australia and New Zealand,Oceania,25-29,27,Female,Developer; Programmer,Student,Student,2 - 5 years,3.5,"Less than $10,000",5000,3.74,Arduino / Raspberry Pi; JavaScript; PHP; Ruby; SQL; SQL Server,C; C++; C#; Java; Objective-C; Python; Visual Basic,Yes,4,I'm a student,,,,,,,,Notepad++,I never check-in or commit code,20+ hours per week,Dogs,Windows 10,I don't know,I don't have an account,Once a week,To build a specific product I have in mind,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.); Some college coursework in Computer Science (or related field)","I'm not actively looking, but I am open to new opportunities",Work/life balance; Building something that's significant; Building something that's innovative,Interesting companies rarely respond to me,0%,Offer remote interviews (e.g. via video conference); Introduce me to the team; interview_coffee,Star Wars,Neutral,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree somewhat,,Agree completely,Neutral,Agree completely,This is somewhat important,I don't care about this,I don't care about this,This is very important,This is very important,This is very important,I don't care about this,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Poor documentation; Outdated technologies,Beacause I love to learn
25993,Facebook,Australia,Australia and New Zealand,Oceania,20-24,22,Male,Developer; Engineer; Hacker,System administrator,System administrator,2 - 5 years,3.5,"$60,000 - $70,000",65000,3.74,AngularJS; JavaScript; Ruby,Arduino / Raspberry Pi; Node.js; Swift,Yes,7,Employed full-time,Government,I am not sure,10-14 people,3,I rarely work remotely,I'm somewhat dissatisfied with my job,Career fair,Vim,Multiple times a day,5-10 hours per week,Cats,Fedora,Yes,1,Multiple times a day,I want to be a better developer,"I'm self-taught; On-the-job training; Part-time program (e.g. night school); Mentorship program (e.g. Flatiron School, GDI, etc.); Industry certification program; Some college coursework in Computer Science (or related field)",I am actively looking for a new job,Opportunity for advancement; Quality of colleagues; Company culture; Company reputation; Building something that's significant; Flexible work hours,Writing my CV and keeping it updated,0%,Fewer brainteasers,Star Trek,Neutral,Neutral,Neutral,Neutral,Agree completely,Agree somewhat,Neutral,Agree completely,Disagree somewhat,Disagree completely,This is somewhat important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is very important,This is very important,I don't care about this,I don't care about this,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Corporate policies; Outdated technologies; Non-technical management; Interacting with stupid people; Poor infrastructure or equipment; Changing requirements; Unspecific requirements; Limited resources,Because I can't do my job without it; Beacause I love to learn
26002,Facebook,Australia,Australia and New Zealand,Oceania,20-24,22,Male,Programmer,Enterprise level services developer,Enterprise level services developer,1 - 2 years,1.5,"$40,000 - $50,000",45000,3.74,Arduino / Raspberry Pi; C++; C#; Java; Perl; PHP; Python; R; Ruby; SQL; Visual Basic,C++; Objective-C; R; SQL,Yes,7,Employed full-time,Software Products,5-9 employees,1-4 people,0,I rarely work remotely,I love my job,"Other job website e.g. Indeed, Monster, Dice, Xing, etc.",Sublime; RStudio; Visual Studio,Multiple times a day,1-2 hours per week,Dogs,Windows 10,Yes,I don't have an account,Multiple times a day,To keep my skills up to date,I'm self-taught; On-the-job training,"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Industry; Company stage; Company financials; Work/life balance; Office location; Company reputation; Building something that's significant,Writing my CV and keeping it updated,30%,Introduce me to the boss; Introduce me to the team; interview_coffee; Fewer brainteasers; Prepare me for who I will be speaking with,Star Trek,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Agree completely,Agree somewhat,Agree somewhat,Agree somewhat,Agree completely,Neutral,This is very important,This is very important,This is very important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is very important,This is somewhat important,This is very important,Inefficient development processes; Fragile code base; Unrealistic expectations; Poor documentation; Outdated technologies; Interacting with stupid people; Poor infrastructure or equipment; Changing requirements,To get help for my job; whyso_onlinepresence; Beacause I love to learn
26435,Facebook,Australia,Australia and New Zealand,Oceania,20-24,22,Male,Developer; Programmer,Database administrator,Database administrator,2 - 5 years,3.5,,,3.74,"Android; C++; C#; Cordova; Cloud (AWS, GAE, Azure, etc.); Hadoop; Java; JavaScript; PHP; Python; SQL",Android; AngularJS; C#; Cordova; Hadoop; Java; JavaScript; MongoDB; Node.js; PHP; Python; Redis; SQL; Windows Phone,Yes,7,Freelance / Contractor,Software Products,5-9 employees,1-4 people,2,I rarely work remotely,I love my job,A friend referred me,Notepad++; Android Studio; IntelliJ; PyCharm; Visual Studio,Multiple times a day,1-2 hours per week,Cats,Windows 10,Yes,I don't have an account,I have never been on Stack Overflow. I just love taking surveys.,I'm curious,B.A. in Computer Science (or related field),"I'm not actively looking, but I am open to new opportunities",Office location; Quality of colleagues; Company culture,Writing my CV and keeping it updated,30%,Introduce me to the team; Fewer brainteasers; Prepare me for who I will be speaking with,Star Wars,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Disagree completely,Agree somewhat,Neutral,Disagree somewhat,Disagree completely,This is somewhat important,This is very important,This is very important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,This is somewhat important,Fragile code base; Unrealistic expectations; Corporate policies,Beacause I love to learn
26469,Facebook,Australia,Australia and New Zealand,Oceania,30-34,32,Male,Developer; Programmer; Full-stack Developer,Analyst,Analyst,6 - 10 years,8,"$50,000 - $60,000",55000,3.74,AngularJS; C++; JavaScript; MongoDB; Node.js; PHP; SQL; Visual Basic,AngularJS; JavaScript; MongoDB; Node.js,Yes,8,Employed full-time,Government,I am not sure,1-4 people,2,I rarely work remotely,I'm somewhat dissatisfied with my job,Other,Sublime; Eclipse,A couple times a week,2-5 hours per week,Cats,Windows 8,Yes,I don't have an account,Multiple times a day,I'm curious,"I'm self-taught; Online class (e.g. Coursera, Codecademy, Khan Academy, etc.)","I'm not actively looking, but I am open to new opportunities",Salary; Tech stack; Office location; Company culture; Building something that's significant; Flexible work hours; Building something that's innovative,Interesting companies rarely respond to me,30%,Show me more live code; Fewer brainteasers,Star Wars; Star Trek,Neutral,Agree completely,Agree completely,Agree completely,Neutral,Disagree completely,Neutral,Agree somewhat,Agree somewhat,Neutral,This is very important,This is very important,This is somewhat important,This is very important,This is very important,This is very important,I don't care about this,This is very important,I don't care about this,I don't care about this,Inefficient development processes; Outdated technologies; Non-technical management,To get help for my job; To give help to others; To receive help on my personal projects; Beacause I love to learn
27081,Facebook,Australia,Australia and New Zealand,Oceania,30-34,32,Male,Developer; Engineer; Programmer; Sr. Developer; Full-stack Developer; Hacker,Full-stack web developer,Full-stack web developer,11+ years,13,"$60,000 - $70,000",65000,3.74,CoffeeScript; iOS; JavaScript; Objective-C; Perl; PHP; Python; Ruby; SQL; Visual Basic,Arduino / Raspberry Pi; C; Cassandra; Clojure; Haskell; LAMP; ReactJS; Redis; Swift,Yes,10,Employed full-time,Software Products,20-99 employees,1-4 people,2,Part-time remote,I love my job,Contacted by company (in-house recruiter),Vim,Multiple times a day,20+ hours per week,Dogs,Mac OS X,Yes,1,Once a day,I'm curious,I'm self-taught,"I'm not actively looking, but I am open to new opportunities",Salary; Ability to make or influence important decisions; Company size; Work/life balance; Opportunity for advancement; Job title; Office location; Company culture; Company reputation; Building something that's significant; Remote working option; Flexible work hours,Taking time off work to interview,50%,Introduce me to the boss; Introduce me to the team; interview_coffee; Show me the space in which I will work; Fewer brainteasers,Star Wars; Star Trek,Agree completely,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree completely,Agree somewhat,Agree completely,Agree somewhat,Neutral,This is very important,This is very important,I don't care about this,This is somewhat important,This is somewhat important,This is very important,This is very important,This is very important,This is very important,This is very important,Poor team dynamics; Inefficient development processes; Fragile code base; Poor scheduling; Unrealistic expectations; Poor documentation; Corporate policies; Outdated technologies; Interacting with non-technical people; Interacting with stupid people; Unspecific requirements; Limited resources,Beacause I love to learn
29088,Facebook,Australia,Australia and New Zealand,Oceania,25-29,27,Male,Developer; Ninja,Back-end web developer,Back-end web developer,1 - 2 years,1.5,"$10,000 - $20,000",15000,3.74,JavaScript; PHP; SQL; SQL Server; WordPress,C; C++; C#; Perl; Python; Ruby,Yes,5,Freelance / Contractor,Web Services,1-4 employees,1-4 people,1,Part-time remote,I'm somewhat satisfied with my job,Self-employed - I created my own job,Coda; Notepad++; Sublime; PhpStorm; Visual Studio,A few times a month,5-10 hours per week,Cats,Mac OS X,Yes,1,Once a month,To keep my skills up to date,Industry certification program,I am not interested in new job opportunities,Salary; Opportunity for advancement; Building something that's significant; Building something that's innovative,Writing my CV and keeping it updated,0%,Show me more live code,Star Wars,,,,,,,,,,,,,,,,,,,,,,
